Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C5","100 uF","CP_Elec_6.3x5.4",73.000000,-122.000000,0.000000,top
"C6","100 nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.100000,-127.650000,180.000000,top
"C8","220 uF","CP_Elec_6.3x5.4",84.900000,-145.400000,0.000000,top
"D6","1N5819","D_SMA-SMB_Universal_Handsoldering",73.150000,-138.400000,180.000000,top
"ENC1","ENC1","JST_ZE_BM04B-ZESS-TBT_1x04-1MP_P1.50mm_Vertical",46.000000,-157.500000,180.000000,top
"I2C","UART","JST_ZE_BM04B-ZESS-TBT_1x04-1MP_P1.50mm_Vertical",59.000000,-157.500000,180.000000,top
"L1","47 uH","L_10.4x10.4_H4.8",84.850000,-135.250000,0.000000,top
"Q1","2N3904","SOT-23_Handsoldering",34.250000,-141.850000,90.000000,top
"Q3","2N3904","SOT-23_Handsoldering",43.200000,-141.850000,90.000000,top
"Q5","2N3904","SOT-23_Handsoldering",52.500000,-141.850000,90.000000,top
"Q7","2N3904","SOT-23_Handsoldering",61.450000,-141.850000,90.000000,top
"Q9","AOD4184A","TO-252-2",32.850000,-132.250000,90.000000,top
"Q10","AOD4184A","TO-252-2",41.850000,-132.250000,90.000000,top
"Q11","AOD4184A","TO-252-2",50.850000,-132.250000,90.000000,top
"Q12","AOD4184A","TO-252-2",59.850000,-132.250000,90.000000,top
"R13","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",68.000000,-156.000000,0.000000,top
"R14","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",68.000000,-159.250000,0.000000,top
"R15","10 Omh","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",35.000000,-146.100000,0.000000,top
"R16","10 Omh","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.000000,-146.050000,0.000000,top
"R17","10 Omh","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.500000,-146.050000,0.000000,top
"R18","10 Omh","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.500000,-146.100000,0.000000,top
"R19","11 Omh","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.550000,-141.000000,270.000000,top
"R20","11 Omh","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.550000,-141.000000,270.000000,top
"R21","11 Omh","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",48.550000,-141.000000,270.000000,top
"R22","11 Omh","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.500000,-141.000000,270.000000,top
"R23","0.3 Omh","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",68.000000,-132.950000,90.000000,top
"R25","18k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.400000,-127.650000,180.000000,top
"U1","STM32F030K6Tx","LQFP-32_7x7mm_P0.8mm",73.352270,-150.119770,225.000000,top
"U2","MC33063AD","SOIC-8_3.9x4.9mm_P1.27mm",74.350000,-132.300000,180.000000,top
"UART","I2C","JST_ZE_BM04B-ZESS-TBT_1x04-1MP_P1.50mm_Vertical",86.500000,-155.500000,270.000000,top
